,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
B3galt2,4.23824111238393e-46,-0.551478649200269,0.003,0.16,1.40612125385562e-41
Ddx1,4.32535471492097e-46,0.569056904741511,0.641,0.203,1.43502293376933e-41
Fabp7,4.3855192841531e-46,-1.25928585898742,0.122,0.399,1.45498373290347e-41
Gria1,4.56612765303912e-46,-0.455629755932515,0.006,0.171,1.51490417144879e-41
Fads1,4.83023613697674e-46,-0.935489795561125,0.15,0.428,1.60252744316477e-41
Fbln1,4.89068644074688e-46,-0.425044820689063,0.009,0.182,1.62258304044659e-41
Mrpl24,5.17211441320716e-46,0.574507828357812,0.739,0.277,1.71595239886974e-41
Mcrs1,5.72489193217859e-46,0.567086837137002,0.619,0.176,1.89934739633889e-41
Kcnd2,5.79181231786431e-46,-0.433579924597264,0.004,0.162,1.92154957269784e-41
Mylk,6.05346625579623e-46,-0.565553512817938,0.016,0.203,2.00835849968551e-41
Cluap1,6.99217864181236e-46,0.596267859584876,0.608,0.18,2.31979510799409e-41
Itgav,7.32060287471121e-46,-1.11433793153115,0.385,0.624,2.42875641574294e-41
Egfl6,7.4632846097779e-46,-0.315371338060004,0,0.146,2.47609393498601e-41
Fkbp2,8.2884554036747e-46,0.69175142734783,0.772,0.336,2.74986084927716e-41
Tcf4,9.10514277873256e-46,-1.06067887005897,0.699,0.786,3.0208132197001e-41
Fads2,1.254112358325e-45,-0.753399116540652,0.089,0.345,4.16076857121487e-41
Eef1d,1.32987806311616e-45,0.642376575672176,0.969,0.671,4.4121364500005e-41
Cyp2j6,1.64193148235683e-45,-0.719889373876065,0.05,0.282,5.44743607901526e-41
Taf10,2.10941595424752e-45,0.824562511532154,0.614,0.243,6.99840931140699e-41
Rcn2,2.69884080859193e-45,-1.13115549388168,0.681,0.745,8.95394415066544e-41
Sf3b5,2.94374071578358e-45,0.611847322571026,0.79,0.342,9.7664485727552e-41
Igsf3,3.14522773375577e-45,0.522937012506463,0.38,0.023,1.04349220522815e-40
Slc38a2,3.56913749095005e-45,0.661984592959844,0.597,0.169,1.1841327453725e-40
Ak7,3.69609750304831e-45,0.544195463729095,0.346,0.002,1.22625426858634e-40
Foxj1,4.15335509570622e-45,0.695826315196107,0.397,0.034,1.37795862010245e-40
Sae1,4.17566729965821e-45,0.528395512119672,0.593,0.164,1.3853611400076e-40
Fez1,4.28354289089419e-45,0.624664989843585,0.827,0.41,1.42115102491196e-40
Ccdc74a,4.64483190499032e-45,0.526265006006806,0.382,0.023,1.54101588111864e-40
Lsm8,4.68398223329711e-45,0.522523798212153,0.597,0.169,1.55400478554098e-40
C1qbp,5.09190471011844e-45,0.754122906960848,0.774,0.441,1.689341225676e-40
Mboat2,5.13432487349839e-45,-0.933714536321464,0.188,0.459,1.70341496328056e-40
Gm19935,5.33493890042871e-45,0.827671757016496,0.525,0.128,1.76997267899523e-40
Mrpl17,5.7584511934751e-45,0.639051273621227,0.846,0.441,1.91048135245923e-40
Srsf9,5.92804207032754e-45,0.674684975165038,0.6,0.191,1.96674651767257e-40
Pcdh9,5.96265679155755e-45,-0.692796282784989,0.052,0.284,1.97823064373505e-40
Ppp1r15a,6.34646089855902e-45,0.590998754019667,0.643,0.214,2.10556533231492e-40
Lamp1,8.0596974447505e-45,-0.941525097104259,0.703,0.784,2.67396582124487e-40
Thyn1,8.40601521565541e-45,0.542505023211226,0.73,0.273,2.788863668098e-40
Psip1,9.70832961424157e-45,0.595191789556624,0.632,0.2,3.22093251611693e-40
Map2k2,1.07902689432102e-44,0.607147806052954,0.667,0.239,3.57988752728883e-40
Cbx3,1.10966086243671e-44,0.682363966843012,0.779,0.385,3.68152184330627e-40
Tsfm,1.12752815924621e-44,0.536708242576714,0.588,0.158,3.74080017393115e-40
Ptprj,1.31199036662995e-44,-0.909617505284913,0.14,0.41,4.35279043936818e-40
Pth1r,1.69799666414482e-44,-0.422169765632514,0.004,0.158,5.63344353263326e-40
Nsfl1c,1.78403099082813e-44,0.516499585207256,0.711,0.255,5.9188796182705e-40
Cmpk2,2.03683922328581e-44,-0.514001108203332,0.014,0.194,6.75762149109534e-40
Oaz2,2.27257587934847e-44,0.56216439078824,0.599,0.176,7.53972499491443e-40
Apba2,2.67303019450918e-44,-0.561207554967517,0.017,0.2,8.8683122763231e-40
Krtcap2,2.79688307954141e-44,0.620944336789628,0.939,0.615,9.27921899299455e-40
Ywhah,3.16169474349035e-44,0.6761223653995,0.785,0.374,1.04895546504779e-39
Arpc1b,3.32383110822573e-44,0.779007320311729,0.823,0.43,1.10274744677605e-39
Rftn2,3.5512793108024e-44,-0.393864651371537,0.002,0.151,1.17820793694491e-39
Gale,3.77651506141948e-44,0.636446745499337,0.537,0.128,1.25293440192714e-39
Ift22,3.81111149879686e-44,0.572475440023765,0.553,0.14,1.26441246195584e-39
Prdx4,4.21005072439483e-44,0.61876465591876,0.745,0.32,1.39676852883247e-39
Vti1b,4.8887540994388e-44,0.55319190212435,0.674,0.234,1.62194194757081e-39
Rbx1,5.09012420165626e-44,0.597137606280941,0.945,0.615,1.6887505063835e-39
Gnb1,9.36218977353203e-44,0.75750921013478,0.873,0.534,3.10609370116472e-39
Ncan,9.60020869462802e-44,-0.741773681154969,0.059,0.291,3.18506123861674e-39
Apbb2,1.0012418650917e-43,0.630843821622124,0.571,0.178,3.32182013581472e-39
Ahsa1,1.01906941086171e-43,0.612778907249996,0.707,0.27,3.38096658441589e-39
Fam49a,1.09390772853799e-43,-0.712034199158017,0.077,0.322,3.62925767097047e-39
Casp1,1.12617740276864e-43,-0.449013130101532,0.008,0.169,3.7363187691655e-39
Atp2b1,1.16601635164121e-43,0.644331698710933,0.623,0.209,3.86849244984004e-39
Hoxb7,1.20708761637774e-43,0.496935686691962,0.415,0.045,4.00475458485642e-39
Snx3,1.33259363287145e-43,0.599693882872582,0.86,0.435,4.4211458957776e-39
C1qtnf12,1.4368997017274e-43,0.520571972705941,0.394,0.036,4.76720214042099e-39
1700007K13Rik,1.73731176119968e-43,0.614493120324501,0.391,0.036,5.76387923013218e-39
Crispld2,1.82364091300409e-43,-0.837880385088158,0.035,0.243,6.05029345707366e-39
Dcaf17,1.85046115900526e-43,-2.61784530329073,0.153,0.414,6.13927498723174e-39
Sinhcaf,1.94571596106674e-43,0.499653309907285,0.35,0.011,6.45530184403111e-39
Morf4l2,1.95076861203472e-43,0.605618871027884,0.881,0.498,6.47206502414759e-39
Nxph3,2.07725405331962e-43,0.555923758243007,0.388,0.032,6.89170577269849e-39
Hsd17b11,2.10628806727907e-43,-0.560080401699065,0.049,0.273,6.98803192081177e-39
Timp2,2.47524401772829e-43,0.544166974577073,0.442,0.068,8.21211707761715e-39
Zbtb16,2.60557958112218e-43,-0.463005864035035,0.014,0.189,8.64453137628905e-39
Plaur,3.41247270052e-43,0.691354080878395,0.577,0.171,1.13215606785152e-38
Ehd1,3.56037443985749e-43,0.604710717247552,0.654,0.227,1.18122542791152e-38
Dtna,3.62683870007278e-43,-1.04739010740106,0.225,0.489,1.20327627552315e-38
Arl6,3.87828193289805e-43,0.456651932999366,0.431,0.056,1.28669759687759e-38
Ddost,4.03089096124828e-43,0.576540604131515,0.787,0.351,1.33732869421334e-38
Stt3b,5.66588611640136e-43,-1.19598445676158,0.437,0.622,1.87977103683848e-38
4933434E20Rik,5.69400108350673e-43,0.612488421629029,0.632,0.2,1.88909873947503e-38
Lsm5,6.19108504998737e-43,0.499179261873252,0.677,0.223,2.05401628703431e-38
Anxa4,6.194212181692e-43,0.470735451599735,0.348,0.011,2.05505377551996e-38
Cyth2,6.88341809684928e-43,0.529638518768035,0.6,0.182,2.28371162199168e-38
Csgalnact1,7.01195248578098e-43,-0.454261729581445,0.02,0.203,2.32635547620755e-38
Dmp1,7.15324738205713e-43,-0.575197565603138,0.002,0.146,2.37323288394509e-38
Meig1,7.1905118040742e-43,0.574507395574609,0.336,0.005,2.3855961012377e-38
Tuba4a,7.93314486555349e-43,-0.993598195985161,0.187,0.462,2.63197947204468e-38
Capg,8.03999447304743e-43,0.553583646683286,0.52,0.117,2.66742896632295e-38
Ppm1g,8.62042415352807e-43,0.542951846275911,0.605,0.198,2.85999812141601e-38
Pdcd5,8.92670411708931e-43,0.525887053367322,0.88,0.448,2.96161262492672e-38
Ndufaf8,9.53846325840309e-43,0.619435562535728,0.751,0.318,3.16457595524039e-38
Foxp1,1.03574088607498e-42,0.577454552321474,0.491,0.104,3.43627753773094e-38
Csf1,1.08193871713313e-42,-1.03593447519965,0.181,0.446,3.58954808183259e-38
Hmg20b,1.13507584144036e-42,0.535010370607291,0.63,0.207,3.7658411191467e-38
Lage3,1.13663643183151e-42,0.502048693296668,0.596,0.164,3.77101868988739e-38
Phb,1.13726498164179e-42,0.546195024092438,0.717,0.264,3.77310402959296e-38
Nedd8,1.17520490093319e-42,0.566525371572246,0.956,0.615,3.89897729982604e-38
Rsph9,1.23496722364336e-42,0.508855308386801,0.367,0.023,4.09725075788157e-38
Dhcr7,1.33580771197427e-42,-0.626650031541872,0.056,0.286,4.43180924601704e-38
Pold2,1.4639097269069e-42,0.510828395645756,0.445,0.07,4.85681330095902e-38
Prps1,1.47626580949719e-42,0.500754213921399,0.527,0.126,4.89780707616882e-38
Ube2i,1.52554466275759e-42,0.589874778735787,0.798,0.369,5.06129952763086e-38
Klf2,1.53241630522982e-42,1.18365419171168,0.427,0.065,5.08409757586099e-38
Btg1,1.61456499906506e-42,0.748067393113651,0.7,0.3,5.35664229739816e-38
Sumo3,1.75726410055574e-42,0.533133948605095,0.67,0.239,5.83007510641376e-38
Rgs7bp,1.82581986673589e-42,-0.427916145766762,0.007,0.162,6.05752257186965e-38
AA467197,1.90096199103232e-42,-1.11240292585633,0.098,0.354,6.30682159764792e-38
Mrpl12,2.03001779168983e-42,0.53567019309044,0.813,0.374,6.73499002748935e-38
Smarcb1,2.07165510516892e-42,0.523431491394311,0.712,0.27,6.87313014241892e-38
Nasp,2.12825602647167e-42,0.55881705622685,0.512,0.117,7.06091501902508e-38
Babam1,2.69655329810603e-42,0.46273596070734,0.515,0.113,8.94635487712639e-38
Insig1,3.12276201219617e-42,-1.62299132892748,0.376,0.586,1.03603875278632e-37
Fam171b,3.1391387386248e-42,-0.660308841172473,0.039,0.248,1.04147205931355e-37
Hoxa9,3.64449125604086e-42,0.746110105806176,0.557,0.153,1.20913286401668e-37
Erich2,3.65647947904538e-42,0.49872258798775,0.329,0.002,1.21311019676288e-37
Chchd2,3.7454364452139e-42,0.495343216208073,0.993,0.869,1.24262344942862e-37
Gtf3a,3.76282034948769e-42,0.475736379278749,0.467,0.081,1.24839090734953e-37
Spata24,3.87102853681424e-42,0.481524091275466,0.359,0.018,1.28429113765886e-37
Adh5,4.05262345997279e-42,0.494206894022187,0.733,0.311,1.34453888531517e-37
Cyba,4.12803935020094e-42,0.583043978265156,0.496,0.101,1.36955961521616e-37
Carhsp1,4.33332178941444e-42,0.593560253231303,0.802,0.36,1.43766617007403e-37
Psmb5,5.03744568416918e-42,0.596509719912772,0.929,0.588,1.67127335463681e-37
Mgat4c,5.55045661194962e-42,-0.349757273602409,0.001,0.137,1.84147499014653e-37
Cstb,6.25248112449803e-42,0.585441229362076,0.875,0.448,2.07438566267471e-37
Cfap77,6.47991486792942e-42,0.492613104496808,0.326,0.002,2.14984135573294e-37
Gm9493,7.6659645273953e-42,0.922403208600256,0.374,0.029,2.54333705125394e-37
Mrps12,8.42551130334354e-42,0.490283868458001,0.747,0.297,2.79533188511029e-37
Pcbp2,9.12978288634104e-42,0.648774957030305,0.884,0.57,3.02898806820137e-37
Rhou,1.08877074660583e-41,-1.02370869696711,0.156,0.412,3.61221470601415e-37
Enkur,1.59814424014975e-41,0.463662773952563,0.337,0.009,5.30216314554484e-37
Eif4e,1.76609442058724e-41,0.672368811602423,0.897,0.552,5.85937145918229e-37
Hrh1,1.98219002707313e-41,-0.440627636122508,0.002,0.142,6.57631185282054e-37
Pcdh7,2.04350007833169e-41,-0.747243249167759,0.077,0.313,6.77972020988105e-37
Gadd45g,2.19867971192436e-41,-1.22401134804373,0.591,0.779,7.29455968025146e-37
Eps8,2.52685056095884e-41,-0.904264904365648,0.171,0.43,8.38333210609315e-37
Manf,2.87494168910469e-41,0.681615037099307,0.897,0.59,9.53819404194261e-37
Llph,3.15982396261707e-41,0.510365655276595,0.811,0.392,1.04833479607746e-36
1190007I07Rik,3.29409202616666e-41,0.4506097507507,0.402,0.047,1.09288091152131e-36
Cfap54,4.21392629321936e-41,0.520489118993641,0.321,0.002,1.39805432630139e-36
Nt5c,4.5179465504064e-41,0.459278357536676,0.526,0.119,1.49891912702833e-36
Mrps16,4.69072485360727e-41,0.560077137149908,0.803,0.372,1.55624178468128e-36
Slc25a39,4.74401614713713e-41,0.48266123681936,0.539,0.133,1.57392223713569e-36
Limch1,6.28643086808805e-41,-1.00697615824554,0.228,0.486,2.08564916910557e-36
Lsm3,7.11015999155117e-41,0.453564277971994,0.571,0.162,2.35893778039693e-36
Lrrc51,7.31804391187594e-41,0.493426516372305,0.438,0.072,2.42790742864308e-36
Ssu72,7.35861799092746e-41,0.565101770211565,0.78,0.367,2.44136869085e-36
Chpt1,7.62245686786543e-41,-1.26203631859095,0.381,0.586,2.52890251505171e-36
Pcsk2,7.65579762186459e-41,0.510590702020115,0.347,0.016,2.53996397700601e-36
Ctbp1,9.45632243180651e-41,0.615324293370443,0.641,0.243,3.13732409320045e-36
Thrsp,1.01538728147507e-40,-0.345961107669763,0.002,0.14,3.36875038374983e-36
Rab11b,1.02020521265995e-40,0.547911687008904,0.795,0.345,3.38473483404191e-36
Gapdh,1.02249483742314e-40,0.464454000099463,0.996,0.966,3.39233112211875e-36
Ube2n,1.02528939856208e-40,0.569964588745149,0.873,0.459,3.40160263760943e-36
Tmod2,1.04668961082717e-40,-0.968330805796115,0.186,0.444,3.4726021218413e-36
Ctnnd2,1.1658060786197e-40,-0.763640865895554,0.171,0.435,3.86779482703658e-36
Smarcc1,1.17746860605573e-40,0.540157532578359,0.55,0.149,3.90648759431108e-36
Crlf1,1.19492870927253e-40,0.777245512197633,0.329,0.009,3.96441497875347e-36
Gpc6,1.20526524349122e-40,-0.560103187338624,0.023,0.205,3.99870849833081e-36
Trim21,1.39881817399888e-40,-0.349711231345225,0.015,0.182,4.64085905587608e-36
Capns1,1.48776052479433e-40,0.567165622811027,0.926,0.586,4.93594309311014e-36
Icam1,1.59565517229536e-40,-0.940334258874768,0.117,0.369,5.29390516512431e-36
Cfap52,1.68197989985367e-40,0.433246269505365,0.319,0.002,5.58030471374453e-36
Fkbp11,1.70228234482983e-40,0.596715635558103,0.439,0.074,5.64766213544194e-36
Naa10,1.75004989716744e-40,0.429668489090167,0.537,0.135,5.80614054383242e-36
Gpx8,1.80326892314107e-40,0.571138692269904,0.557,0.162,5.98270530630514e-36
Por,2.17668402853994e-40,-1.06905319265524,0.548,0.7,7.22158460148694e-36
2210016F16Rik,2.21508293681198e-40,0.48579902085482,0.539,0.144,7.3489806594611e-36
Aox1,2.28428018944139e-40,-0.785157913546497,0.08,0.311,7.57855638450971e-36
Scarb2,2.49866287458383e-40,-0.989261598029143,0.282,0.523,8.28981381900678e-36
Prmt7,2.52828837284829e-40,0.476470407855223,0.535,0.142,8.38810233459878e-36
Map1lc3a,2.80709028241029e-40,0.68118550473052,0.788,0.435,9.3130834299526e-36
Lhfpl3,3.08281275807997e-40,-0.337784886091425,0.004,0.144,1.02278478874819e-35
Mrpl28,4.11009816725442e-40,0.491599594575035,0.677,0.257,1.36360726895e-35
Cbx1,4.12838327890842e-40,0.531792439704708,0.666,0.245,1.36967372044345e-35
Folh1,4.6087946581703e-40,-0.315620495539287,0.002,0.137,1.52905980374116e-35
Trappc4,4.8246326184768e-40,0.516544084945505,0.769,0.34,1.60066836383205e-35
Bmpr1b,4.84972202165822e-40,-0.396548864143272,0.008,0.16,1.60899227512555e-35
Acp1,5.00307846078848e-40,0.579662691475038,0.787,0.381,1.65987134093579e-35
Cfap206,5.09737283799563e-40,0.488955674991446,0.31,0,1.69115538646181e-35
Ogg1,5.87644418968322e-40,0.449075871523806,0.324,0.007,1.9496278888112e-35
Ahcyl1,6.05289769102943e-40,-1.07722982647804,0.413,0.608,2.00816986695283e-35
Gpr37,6.26114780787686e-40,-0.48303916100359,0.023,0.203,2.0772610082193e-35
Prex1,6.99983620298881e-40,-0.740818192105079,0.096,0.333,2.3223356570656e-35
Dnajc19,7.07575602811905e-40,0.534782757699216,0.715,0.304,2.34752357744906e-35
Mrpl55,7.17771275516982e-40,0.478294635794623,0.624,0.209,2.38134976078269e-35
Ccdc113,8.68757308792863e-40,0.504302606718346,0.309,0,2.88227612338208e-35
Npas2,8.7316665529907e-40,-0.353069330196415,0.003,0.14,2.89690501228572e-35
Krcc1,1.04077475308826e-39,0.516532358944653,0.633,0.221,3.45297839832093e-35
Rab28,1.25165594998815e-39,0.441612411259156,0.591,0.178,4.1526189452757e-35
2900052N01Rik,1.25616912830426e-39,-0.455903693835336,0.002,0.133,4.16759231697506e-35
Pacrg,1.40337974749998e-39,0.45134982522131,0.325,0.009,4.6559929882807e-35
Fam81a,1.40948560961927e-39,0.464443988064963,0.341,0.018,4.67625040703386e-35
Atp2b4,1.43850261545613e-39,0.523956449984051,0.384,0.045,4.77252012729881e-35
Nol12,1.45817760104299e-39,0.45383240053094,0.662,0.23,4.83779582698032e-35
Ubxn6,1.66296683094053e-39,0.452574350102833,0.527,0.137,5.5172250550114e-35
Cox14,1.70405819010516e-39,0.522448995642242,0.844,0.405,5.65355385731188e-35
Tmem212,1.74286501323599e-39,0.56371968069872,0.333,0.016,5.78230325441305e-35
Mrpl36,1.815858261421e-39,0.501532272484003,0.6,0.18,6.02447295391644e-35
Slc24a4,1.97748316917985e-39,-0.406012182759972,0.008,0.158,6.56069591038799e-35
Mxd4,2.03038464975695e-39,-0.955662090322358,0.185,0.435,6.73620715249864e-35
Pcdh10,2.09108084067627e-39,-0.725760310498689,0.087,0.322,6.93757890511165e-35
Atp9a,2.10556766337547e-39,0.441061973819286,0.35,0.025,6.98564183678078e-35
Ftsj3,2.12331871692725e-39,0.534848607352656,0.601,0.2,7.04453450714953e-35
Plekhg1,2.73240874739946e-39,-0.411648710507231,0.011,0.164,9.06531250124719e-35
Fam20a,2.92167563376163e-39,-0.486687859979101,0.02,0.191,9.69324325013098e-35
Tmem198b,3.32265237779996e-39,-0.814012065303858,0.103,0.345,1.10235637938269e-34
Nubp1,3.3823202253662e-39,0.459395805206703,0.462,0.095,1.12215238116975e-34
Bmp1,3.51843692217313e-39,-1.17394866671347,0.272,0.511,1.16731181766938e-34
Slc6a6,3.63717386180094e-39,0.503692095395647,0.376,0.041,1.2067051721297e-34
Il33,3.68546235476331e-39,-0.854293038159836,0.099,0.342,1.22272584543982e-34
Sec14l2,4.10868805969146e-39,-0.438349200128767,0.014,0.176,1.36313943756384e-34
G6pc3,4.38339769403251e-39,0.528160616256483,0.624,0.218,1.45427985294916e-34
Dut,5.47398252305556e-39,0.541247634202308,0.424,0.072,1.81610318167414e-34
Praf2,5.50951068336698e-39,0.462211363966217,0.51,0.124,1.82789035942066e-34
Jpt2,5.6268201035302e-39,0.468794523571256,0.38,0.043,1.86681010574821e-34
H2-T23,5.6782004276805e-39,-0.768037321143558,0.043,0.243,1.88385655589156e-34
Cast,7.33811943384815e-39,0.584096243478234,0.515,0.146,2.4345678845678e-34
Tubb4b,7.37040010229415e-39,0.815930238776064,0.938,0.721,2.44527764193813e-34
Rbbp7,7.62972446068201e-39,0.530972549478428,0.763,0.333,2.53131368432047e-34
Bphl,7.64843770997108e-39,0.522988357770472,0.512,0.133,2.53752217903711e-34
Acot9,7.86870413673754e-39,0.446224705016821,0.432,0.074,2.61059997144541e-34
Kcnj16,8.01602121884572e-39,-0.686002827238044,0.095,0.333,2.65947535977644e-34
Cd274,8.813057772517e-39,-0.664101863042096,0.03,0.214,2.92390817718797e-34
Hspa4l,9.01417768705688e-39,0.566507046677839,0.5,0.135,2.99063373123486e-34
Adss,9.04873321762386e-39,0.590502182189772,0.713,0.333,3.00209821961107e-34
Bri3,9.36994054564521e-39,0.751934940059826,0.642,0.311,3.10866517482871e-34
Vars,1.01266632659858e-38,0.474848980181355,0.512,0.128,3.3597230717561e-34
Commd1,1.09631286560053e-38,0.441135086684526,0.659,0.232,3.63723719420289e-34
Ndufa7,1.10044203531718e-38,0.591627452571871,0.965,0.691,3.65093654057179e-34
Acot11,1.14014021460169e-38,-0.544548845313639,0.031,0.216,3.78264318998401e-34
Mrps24,1.16781333570948e-38,0.556067554509388,0.774,0.367,3.87445430388333e-34
Morf4l1,1.23931422507e-38,0.536867980898481,0.971,0.73,4.11167280451473e-34
Ift74,1.27923090641416e-38,0.506843305242813,0.468,0.104,4.24410437821025e-34
Macroh2a1,1.29612358241167e-38,0.651244872223449,0.74,0.378,4.30014920936721e-34
Mapk3,1.32897527979709e-38,0.420544315735675,0.509,0.126,4.40914128578282e-34
Serp1,1.49284127416831e-38,0.555728176452392,0.69,0.279,4.95279949530819e-34
Gm6145,1.61940448168325e-38,-0.645186496344643,0.021,0.191,5.37269824888052e-34
Plekhj1,1.69725964528589e-38,0.540455423838353,0.654,0.243,5.63099832516501e-34
Crip1,1.78671912733553e-38,0.870510448207107,0.426,0.079,5.9277980487611e-34
Ptprf,1.82371739121924e-38,0.540627217275986,0.569,0.173,6.05054718884808e-34
Sarnp,1.85462895845032e-38,0.482416452451725,0.784,0.363,6.15310249545064e-34
Tsen15,2.0829867994878e-38,0.462439786018481,0.555,0.164,6.91072530466069e-34
Efcab2,2.08504661915728e-38,0.444268225048706,0.406,0.059,6.9175591683781e-34
Fundc2,2.15477595664698e-38,0.455866192231065,0.678,0.259,7.1489001913677e-34
Kctd13,2.40468358599809e-38,0.433195956982552,0.373,0.041,7.97801873326586e-34
Chmp3,2.43500910537201e-38,0.487176374912653,0.558,0.169,8.07862970889273e-34
Nav2,2.49429123514736e-38,-1.26160683556534,0.548,0.682,8.27531003084839e-34
Tmc7,2.69410856925317e-38,-0.382139615775057,0.007,0.149,8.93824400021123e-34
Slc49a4,2.7047102694368e-38,-0.701619759234418,0.104,0.338,8.97341726091048e-34
Syne2,3.06784272162682e-38,0.490066468597475,0.361,0.034,1.01781817975413e-33
Vgf,3.31322853550918e-38,0.941320238285741,0.526,0.158,1.09922983122588e-33
Ubl4a,3.62189378890393e-38,0.43305352231441,0.547,0.151,1.20163570234466e-33
Erich3,3.83939776723622e-38,0.444422216647946,0.312,0.007,1.27379699723596e-33
Capn2,4.34254909324665e-38,-0.974513988068147,0.557,0.68,1.44072751266644e-33
Samm50,4.38136767558221e-38,0.45541912684237,0.654,0.243,1.45360635372791e-33
Sh3pxd2b,5.0237280677687e-38,-1.04405261088256,0.263,0.5,1.66672226104362e-33
1110017D15Rik,5.31167992920045e-38,0.555903376626769,0.319,0.011,1.76225605011083e-33
Phyh,6.00540595130578e-38,-0.943439024133578,0.282,0.52,1.99241353246472e-33
Spr,6.16528502861304e-38,0.430244796978787,0.563,0.16,2.04545661394295e-33
Pih1d2,6.69356229194291e-38,0.447683966392307,0.334,0.02,2.2207231615979e-33
Kmt5a,7.00838933198984e-38,0.523763911521091,0.515,0.142,2.32517332867427e-33
Asap3,7.12863740916534e-38,-0.407942619881043,0.015,0.173,2.36506803323879e-33
Mboat1,7.47635043061763e-38,0.460548537197183,0.358,0.034,2.48042878236601e-33
Bola3,9.04599962678952e-38,0.588017805480752,0.841,0.439,3.00119129617996e-33
Ttc3,9.16237177001174e-38,0.575605987230694,0.676,0.279,3.0398000821368e-33
Kcne1l,9.34326682202949e-38,-0.433870434479192,0.014,0.171,3.09981563354472e-33
Ostc,9.80017307637219e-38,0.554575483283175,0.795,0.403,3.251403421548e-33
Capsl,1.03397229561058e-37,0.454686607682763,0.298,0.002,3.43040988514721e-33
Eid1,1.15669826639192e-37,0.60730550443818,0.536,0.176,3.83757783840846e-33
Gm47644,1.16927187455846e-37,-0.324726933056802,0.007,0.146,3.8792932982226e-33
Tomm40,1.2840050493472e-37,0.529520745937255,0.726,0.347,4.25994355221922e-33
Saraf,1.4208909444683e-37,-0.982670518844923,0.684,0.725,4.71408988646247e-33
Slc23a2,1.43888127586692e-37,-0.988817413711848,0.227,0.466,4.77377640894368e-33
Tsen34,1.47161462142233e-37,0.480463499331524,0.709,0.284,4.88237582949287e-33
Psma5,1.50585172968351e-37,0.531894415713202,0.847,0.448,4.99596428357098e-33
Hspb11,1.73689287833642e-37,0.407865488072805,0.495,0.117,5.76248950245676e-33
Atp6v0c,1.82805001869053e-37,-1.31689724015309,0.367,0.588,6.06492154700956e-33
Kidins220,1.88207440002415e-37,-0.94821680758162,0.255,0.493,6.24415823696012e-33
Gm10073,1.89718384426191e-37,1.00733127851444,0.336,0.025,6.29428684010772e-33
Rfc2,1.90142253792469e-37,0.518201742460698,0.498,0.128,6.30834955407275e-33
Dalrd3,2.02852592056001e-37,0.440961814326131,0.551,0.158,6.73004044664194e-33
Aatk,2.03108888607252e-37,-0.620118224298195,0.03,0.209,6.73854359732281e-33
Uchl3,2.15675127200858e-37,0.48880239325495,0.531,0.151,7.15545369514285e-33
Zcchc18,2.35511800559881e-37,0.456368822660599,0.479,0.113,7.81357500717519e-33
Rasl10a,2.43308750038451e-37,0.455022303496031,0.335,0.023,8.0722544000257e-33
Mrto4,2.50612732520207e-37,0.500216545660079,0.736,0.338,8.31457862682289e-33
Clu,2.54998641530702e-37,-1.33006740751129,0.982,0.986,8.46008993006412e-33
Denr,2.66412219822748e-37,0.510127282801416,0.731,0.32,8.83875821705932e-33
Chmp5,2.67544202590895e-37,0.4695147197502,0.725,0.3,8.87631400935812e-33
Dab2,3.0340799265726e-37,-1.14643761304185,0.25,0.486,1.00661669723899e-32
Trp63,3.14689851733845e-37,-0.320214693591347,0.002,0.128,1.04404652109738e-32
Cdv3,3.42477446107338e-37,0.650025429370502,0.709,0.356,1.13623742295032e-32
Arl6ip4,3.81329705149149e-37,0.462051127820144,0.585,0.185,1.26513756277333e-32
Adgrg6,4.40393347478277e-37,-0.294147733780691,0.006,0.142,1.46109300892868e-32
Isyna1,4.40476900411828e-37,0.50296584879816,0.316,0.014,1.46137021249632e-32
Camk2g,4.61570209281218e-37,-1.04230747560751,0.237,0.477,1.5313514833323e-32
Gpatch4,5.1144435804065e-37,0.44512473200603,0.602,0.196,1.69681894667147e-32
Coa3,5.505078310502e-37,0.488353564878012,0.729,0.309,1.82641983107525e-32
Hmga1b,6.88960246234542e-37,0.481681654835332,0.304,0.007,2.28576340893234e-32
Utp18,6.89066401014591e-37,0.460479282218597,0.548,0.162,2.28611559864611e-32
Mcm6,7.40630321580643e-37,0.541741325714418,0.368,0.045,2.4571892179081e-32
Eif5b,7.51066788242579e-37,0.507003834675542,0.902,0.509,2.49181428335241e-32
Ssb,8.75137709421117e-37,0.522929444477752,0.876,0.529,2.90344437854644e-32
Epb41l4a,9.92988381714358e-37,0.40057923724376,0.297,0.005,3.29443755401373e-32
Cyth1,1.01620634357544e-36,-0.593346270859086,0.063,0.273,3.37146778608025e-32
Tmem59l,1.17604210731897e-36,0.473891650589118,0.358,0.041,3.90175489945215e-32
Osmr,1.34572474891929e-36,-1.05675165747395,0.417,0.597,4.46471099948952e-32
Mcm7,1.40622405951442e-36,0.517941876566929,0.388,0.059,4.66542956225098e-32
Jun,1.5591640167851e-36,0.835124302491367,0.935,0.727,5.17283845848792e-32
Yeats4,1.6320880335957e-36,0.405236712637821,0.444,0.088,5.41477846906046e-32
Pgm1,1.66652953757059e-36,-0.881843769049244,0.128,0.365,5.52904504679796e-32
Rbms1,1.87751273097908e-36,0.610959206584438,0.73,0.365,6.22902398756928e-32
