,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Tm4sf1,6.29283834335742e-189,2.92507680468717,0.998,0.536,2.08777497717569e-184
Rps20,9.33417135448972e-189,1.76559348259403,1,0.811,3.09679803027905e-184
Rpl21,1.59218782659353e-188,1.64082000607317,1,0.917,5.28240155228935e-184
Rpl38,2.87639199912146e-188,1.92661381913822,0.999,0.869,9.54300573548526e-184
Slc4a4,4.07778193298116e-188,-3.13810228451266,0.208,0.836,1.35288571190516e-183
Rps15a,1.20994698989455e-187,1.61110417120838,1,0.901,4.01424112837314e-183
Pygm,5.8717295598139e-187,-1.67604555162485,0.012,0.59,1.94806371605946e-182
Rps13,4.09910835701378e-186,1.63328905117172,1,0.883,1.35996117960646e-181
Rpl3,5.57227915870654e-186,1.7696961409443,0.999,0.881,1.84871505648407e-181
Rpl10,9.42995381969097e-186,2.02787415219897,0.998,0.8,3.12857577875887e-181
Rps25,6.64754480734904e-185,1.73057708630053,1,0.867,2.20545594073419e-180
Rps28,7.18847613496027e-185,1.91222755693173,1,0.86,2.38492072729577e-180
Rps11,1.09213111158961e-184,1.76898131059648,1,0.894,3.62336338892083e-180
Uchl1,1.91027443689209e-184,2.36628785565209,0.959,0.162,6.33771749927688e-180
Rpl39,7.91036789000459e-183,1.88358433160759,1,0.869,2.62442275486682e-178
Rps9,1.24146096459472e-182,1.7089428024335,0.999,0.91,4.11879504223591e-178
Ckb,3.36531817887224e-182,-2.38406784524902,0.952,0.993,1.11651161220444e-177
Dbx2,1.55196913385692e-181,-1.5044257626431,0.007,0.561,5.14896799539711e-177
Rpl4,3.12167614528586e-181,1.82750360350954,0.998,0.795,1.03567849472149e-176
Rps7,1.07762770443324e-180,1.64639511629751,0.999,0.878,3.57524543499816e-176
Rps27a,1.365664150436e-180,1.52317559843221,1,0.928,4.53086395190152e-176
Rpl24,5.23322528994684e-180,1.47903621295816,1,0.921,1.73622715444566e-175
Atp13a4,1.04772902412605e-179,-1.53173300675589,0.005,0.55,3.47605058334299e-175
Rpl41,1.11907025051248e-179,2.29072408254452,1,0.95,3.71273937012526e-175
Rps26,1.61955775161318e-179,1.76981503309716,1,0.863,5.37320675252706e-175
Eef1a1,1.64866330711246e-179,1.4087754760721,0.999,0.966,5.46977025400702e-175
Rbp1,3.09424663620351e-179,2.52614762935418,0.965,0.225,1.02657820649324e-174
Rpl28,3.85611651380805e-179,1.53076232361919,0.999,0.894,1.2793437757861e-174
Rpl34,6.12961995593329e-179,1.65606741834686,0.998,0.842,2.03362401277999e-174
Npm1,6.21582225155973e-179,1.79922782581277,0.995,0.705,2.06222334839997e-174
S100a11,1.07054027014796e-178,2.01372466328712,0.998,0.64,3.55173145426988e-174
Rpl35a,1.36011443412026e-178,1.74311660893815,1,0.905,4.51245165808078e-174
Tspan7,2.74847016799188e-178,-1.88467721893318,0.089,0.712,9.11859947634667e-174
Rpl5,5.57199562194342e-178,1.61891445675795,0.998,0.734,1.84862098749217e-173
